dataset,band,arity,arity_tier,modality_mix,n_candidates,n_accepted,accept_rate,median_test_cardinality
default,0.01,2,primary,numeric,8,7,0.875,30
default,0.01,2,primary,categorical,8,6,0.75,12
default,0.01,2,primary,mixed,8,8,1.0,32
default,0.01,3,primary,numeric,8,8,1.0,28
default,0.01,3,primary,categorical,8,6,0.75,20
default,0.01,3,primary,mixed,8,7,0.875,23
default,0.01,4,primary,numeric,8,8,1.0,30
default,0.01,4,primary,categorical,8,8,1.0,26
default,0.01,4,primary,mixed,8,7,0.875,31
default,0.01,5,primary,numeric,8,8,1.0,29
default,0.01,5,primary,categorical,8,6,0.75,19
default,0.01,5,primary,mixed,8,8,1.0,21
default,0.01,6,primary,numeric,8,8,1.0,28
default,0.01,6,primary,categorical,8,6,0.75,14
default,0.01,6,primary,mixed,8,8,1.0,33
default,0.01,7,extension,numeric,8,8,1.0,29
default,0.01,7,extension,categorical,8,5,0.625,10
default,0.01,7,extension,mixed,8,7,0.875,25
default,0.01,8,extension,numeric,8,8,1.0,31
default,0.01,8,extension,categorical,8,6,0.75,21
default,0.01,8,extension,mixed,8,7,0.875,32
default,0.01,9,extension,numeric,8,8,1.0,27
default,0.01,9,extension,categorical,8,7,0.875,24
default,0.01,9,extension,mixed,8,8,1.0,30
default,0.01,10,extension,numeric,8,8,1.0,32
default,0.01,10,extension,categorical,8,6,0.75,11
default,0.01,10,extension,mixed,8,8,1.0,31
default,0.005,1,primary,numeric,8,5,0.625,19
default,0.005,1,primary,categorical,8,7,0.875,345
default,0.005,1,primary,mixed,8,5,0.625,22
default,0.005,2,primary,numeric,8,5,0.625,17
default,0.005,2,primary,categorical,8,5,0.625,9
default,0.005,2,primary,mixed,8,4,0.5,17
default,0.005,3,primary,numeric,8,8,1.0,16
default,0.005,3,primary,categorical,8,5,0.625,15
default,0.005,3,primary,mixed,8,7,0.875,16
default,0.005,4,primary,numeric,8,8,1.0,15
default,0.005,4,primary,categorical,8,6,0.75,12
default,0.005,4,primary,mixed,8,6,0.75,12
default,0.005,5,primary,numeric,8,8,1.0,15
default,0.005,5,primary,categorical,8,6,0.75,9
default,0.005,5,primary,mixed,8,7,0.875,11
default,0.005,6,primary,numeric,8,8,1.0,14
default,0.005,6,primary,categorical,8,5,0.625,9
default,0.005,6,primary,mixed,8,7,0.875,12
default,0.005,7,extension,numeric,8,8,1.0,15
default,0.005,7,extension,categorical,8,5,0.625,7
default,0.005,7,extension,mixed,8,8,1.0,12
default,0.005,8,extension,numeric,8,8,1.0,15
default,0.005,8,extension,categorical,8,2,0.25,1
default,0.005,8,extension,mixed,8,6,0.75,13
default,0.005,9,extension,numeric,8,8,1.0,14
default,0.005,9,extension,categorical,8,6,0.75,11
default,0.005,9,extension,mixed,8,8,1.0,16
default,0.005,10,extension,numeric,8,8,1.0,11
default,0.005,10,extension,categorical,8,7,0.875,11
default,0.005,10,extension,mixed,8,7,0.875,15
