dataset,band,arity,arity_tier,modality_mix,n_candidates,n_accepted,accept_rate,median_test_cardinality
fb-comments,0.02,9,extension,categorical,8,0,0.0,0
fb-comments,0.02,9,extension,mixed,8,4,0.5,165
fb-comments,0.02,10,extension,numeric,8,8,1.0,399
fb-comments,0.02,10,extension,categorical,8,2,0.25,0
fb-comments,0.02,10,extension,mixed,8,3,0.375,0
fb-comments,0.01,1,primary,numeric,8,8,1.0,195
fb-comments,0.01,1,primary,categorical,8,5,0.625,3088
fb-comments,0.01,1,primary,mixed,8,4,0.5,209
fb-comments,0.01,2,primary,numeric,8,4,0.5,9980
fb-comments,0.01,2,primary,categorical,8,4,0.5,286
fb-comments,0.01,2,primary,mixed,8,6,0.75,1558
fb-comments,0.01,3,primary,numeric,8,8,1.0,184
fb-comments,0.01,3,primary,categorical,8,5,0.625,517
fb-comments,0.01,3,primary,mixed,8,6,0.75,207
fb-comments,0.01,4,primary,numeric,8,8,1.0,192
fb-comments,0.01,4,primary,categorical,8,1,0.125,0
fb-comments,0.01,4,primary,mixed,8,5,0.625,124
fb-comments,0.01,5,primary,numeric,8,8,1.0,197
fb-comments,0.01,5,primary,categorical,8,0,0.0,0
fb-comments,0.01,5,primary,mixed,8,1,0.125,0
fb-comments,0.01,6,primary,numeric,8,8,1.0,190
fb-comments,0.01,6,primary,categorical,8,1,0.125,0
fb-comments,0.01,6,primary,mixed,8,3,0.375,0
fb-comments,0.01,7,extension,numeric,8,8,1.0,198
fb-comments,0.01,7,extension,categorical,8,0,0.0,0
fb-comments,0.01,7,extension,mixed,8,5,0.625,79
fb-comments,0.01,8,extension,numeric,8,8,1.0,214
fb-comments,0.01,8,extension,categorical,8,1,0.125,0
fb-comments,0.01,8,extension,mixed,8,4,0.5,87
fb-comments,0.01,9,extension,numeric,8,8,1.0,185
fb-comments,0.01,9,extension,categorical,8,0,0.0,0
fb-comments,0.01,9,extension,mixed,8,4,0.5,103
fb-comments,0.01,10,extension,numeric,8,8,1.0,189
fb-comments,0.01,10,extension,categorical,8,2,0.25,0
